asn,google_total_hits,facebook_total_hits,wikipedia_total_hits,imgur_total_hits,youtube_total_hits,total_hits
1,463,2,0,8,52,525
100,0,0,0,0,0,0
10000,316,1,0,0,0,317
10003,5699,39,6,2,1088,6834
10004,0,0,0,1,0,1
10006,0,1,0,0,0,1
10010,37272,2603,814,66,2958,43713
10011,3355,1,0,4,369,3729
10013,879,25,110,19,660,1693
10014,1,1,8,1,0,11
10019,6003,198,0,3,1227,7431
10021,1,0,0,0,0,1
10022,283,62,0,0,59,404
10024,1171,54,0,1,117,1343
10029,3471,542,191,90,162,4456
10030,0,3808,145,222,967,5142
10036,4319,12,2,7,894,5234
10037,6,0,0,0,94,100
10045,0,0,0,1,12,13
10049,0,0,0,0,0,0
10052,1228,0,26,2,26,1282
10054,36,0,2,0,1,39
10060,0,0,0,0,0,0
10066,474,0,0,0,240,714
10085,685,13,0,19,0,717
10088,8,1,0,0,0,9
10094,5652,3081,394,177,1819,11123
10098,528,2,0,0,9,539
10099,3101,14,58,61,97,3331
10101,501,4,8,1,103,617
10103,10440,305,1958,111,1765,14579
10118,4930,4,73,21,1090,6118
10126,8,0,0,1,0,9
10132,3054,1,0,3,135,3193
10137,878,19,87,0,159,1143
10139,14636,491,3833,151,7134,26245
10143,1140,862,366,22,1056,3446
10162,23,0,0,0,0,23
10164,3291,1,0,0,2,3294
10174,0,0,0,0,0,0
10175,0,0,0,0,0,0
10176,1,0,0,0,0,1
10194,978,0,39,0,1,1018
10197,147,0,0,0,1,148
10199,380,80,0,3,1,464
10212,5,0,0,0,0,5
10214,286,273,40,19,286,904
10217,5,213,121,11,0,350
10222,415,1,0,9,49,474
10225,0,44,82,5,0,131
10226,2813,1,2,12,230,3058
10242,0,0,0,0,0,0
10249,0,0,361,1,0,362
10279,296,0,0,0,0,296
103,0,0,0,0,0,0
10318,11301,2804,1649,316,3430,19500
10326,0,0,0,0,0,0
10352,16,0,98,0,0,114
10361,163,5,0,3,15,186
10364,0,0,0,0,0,0
10367,0,1,388,12,0,401
10384,0,0,0,0,0,0
10392,0,0,0,0,0,0
104,0,0,0,0,0,0
